ID;Название;Предмет;Классы;Класс от;Класс до;Формат;Тип участия;Рейтинг;Статус;Статус исходный;Календарь;Календарь статус;Календарь исходный;Расписание обновлено;Источник календаря;Уровень олимпиады;Профиль уровня;Статус уровня;Источник уровня;Дата проверки;Организатор;Контакты;Документы;Описание;Особенности;Источник;URL
5656;Межрегиональная полипредметная олимпиада НИУ «БелГУ»;"Английский язык; Астрономия; Биология; География; ИЗО; Информатика; История; Литература; Математика; Немецкий язык; Обществознание; Право; Психология; Русский язык; Физика; Французский язык; Химия; Экология; Экономика";7–11 классы;7.0;11.0;Очно-заочная;Личная;8.6;Информация ожидается;Информация о следующей олимпиаде ожидается в декабре 2026 года;Обновление информации: ожидается в декабре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5656;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Белгородский государственный национальный исследовательский университет; →";"talant.bsuedu.ru/...; Talant@bsu.edu.ru";"Положение и регламент; →";Межрегиональная полипредметная олимпиада школьников НИУ «БелГУ» проводится для учащихся 7-11 классов по направлениям: астрономия, русский язык, литература, математика, информатика, физика, история, обществознание, биология, химия, иностранный язык (английский, немецкий, французский), право, экономика, экология, психология, журналистика, география, изобразительное искусство, основы медицинских знаний, международные отношения. .. Олимпиада проводится в два этапа. Первый проходит дистанционно для всех желающих. Победители и призеры приглашаются на заключительный этап. Финал проводится в очной форме на базе Белгородского государственного национального исследовательского университета.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5656
5837;Подмосковная олимпиада школьников;"Английский язык; Астрономия; Биология; География; Информатика; Искусство; Испанский язык; История; Китайский язык; Литература; Математика; Немецкий язык; Обществознание; Предпринимательство; Право; Русский язык; Технология; Физика; Французский язык; Химия; Экология; Экономика";5–11 классы;5.0;11.0;Очно-заочная;Личная;8.0;Расписание не опубликовано;Расписание следующей олимпиады ожидается в октябре 2026 года;Публикация расписания: ожидается в октябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5837;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Министерство образования Московской области; →; Образовательный центр «Взлет»";"olympmo.ru/...; olympmo@primakov.school";"Положение и регламент; →";Подмосковная олимпиада школьников – интеллектуальное соревнование по 24 общеобразовательным предметам. .. Принять участие приглашают учеников 5-11 классов. Школьники из всех регионов России могут попробовать свои силы в 19 направлениях (кроме физики, технологии (проектной деятельности), информатики, олимпиады по естественным наукам, а также истории и музеям). Первый тур проходит в дистанционном формате. Участники, успешно выполнившие задания, приглашаются на второй, очный тур. По итогам состязания победители и призеры получают дипломы, а участники – сертификаты.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5837
5869;Учебно-тренировочные чемпионаты ЦПМ;"Английский язык; Астрономия; Биология; География; Информатика; Искусство; Испанский язык; История; Лингвистика; Литература; Математика; Немецкий язык; Обществознание; Право; Русский язык; Физика; Физическая культура; Французский язык; Химия; Экология; Экономика";7–11 классы;7.0;11.0;Дистанционная;Командная;7.5;Расписание не опубликовано;Расписание следующих чемпионатов ожидается в марте 2027 года;Публикация расписания: ожидается в марте 2027 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5869;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Центр педагогического мастерства; Ассоциация победителей олимпиад";"турнир.цпм.рф; turnir@cpm.moscow";;Учебно-тренировочные чемпионаты – это командные соревнования, которые позволяют ребятам посмотреть на школьные предметы по-новому, применить знания в практических задачах и потренироваться перед олимпиадами. .. Чемпионаты проходят в игровой форме. Принять участие можно в коллективе от одной или из разных школ, а также индивидуально (таких учеников организаторы сами объединяют в команды). В рамках чемпионатов проходят следующие соревнования: КОСМОС – игровая образовательная вселенная, где ученики 7-11 классов могут стать участниками большой интеллектуальной баталии ( Положение о проведении ). МЫШ – капитал-квиз по русскому языку, где командам учеников 7-11 классов нужно решать лингвистические задачи ( ГРИБ – турнир для 8-11 классов на тему биоразнообразия, куда включены вопросы из областей биологии, экологии, химии и географии ( КУСТ – соревнование для 7-11 классов по страноведению, включающее задания по иностранным языкам, географии, истории и МХК ( ТИТАН – большое межпредметное соревнование для тех, кто ищет будущее в IT и в STEM-науках. Принять участие могут школьники из 8-11 классов ( ХИТ – командный исследовательский турнир по химии, который знакомит с красотой науки. Проходит среди команд учеников 7-11 классов (;Командная | Участники выполняют задания вместе и борются за общий результат | Дистанционная | Можно участвовать не выходя из дома, достаточно иметь компьютер с доступом в интернет;Каталог /activities;https://olimpiada.ru/activity/5869
5860;Интеллектуальная игра КОСМОС;"Английский язык; Астрономия; Биология; География; Информатика; Искусство; История; Литература; Математика; ОБЗР; Обществознание; Право; Русский язык; Физика; Физическая культура; Химия; Экология; Экономика";8–10 классы;8.0;10.0;Дистанционная;Командная;7.1;Расписание не опубликовано;Расписание следующего соревнования ожидается в марте 2027 года;Публикация расписания: ожидается в марте 2027 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5860;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Центр педагогического мастерства; Ассоциация победителей олимпиад";"космос.цпм.рф; info@cpm.moscow";;КОСМОС – игровая образовательная вселенная, где участники могут стать участниками большой интеллектуальной баталии между командами школ. .. От каждой школы могут участвовать коллективы из 7-15 учеников с разнообразными знаниями и навыками. Ребят ждут пять этапов: четыре отборочных и финал. Материалы предыдущего сезона и подробное описание конкурса размещены на сайте организаторов .;Командная | Участники выполняют задания вместе и борются за общий результат | Дистанционная | Можно участвовать не выходя из дома, достаточно иметь компьютер с доступом в интернет;Каталог /activities;https://olimpiada.ru/activity/5860
5823;Выездные школы АПО;"Английский язык; Астрономия; Биология; География; Искусство; Испанский язык; История; Итальянский язык; Китайский язык; Литература; Математика; Немецкий язык; ОБЗР; Обществознание; Право; Русский язык; Физика; Французский язык; Химия; Экология; Экономика";7–11 классы;7.0;11.0;;;7.4;Регистрация открыта;Идет регистрация на летние смены;Не опубликовано;Не опубликован;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5823;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Ассоциация победителей олимпиад; →";"апо.рф/...; info@apo-team.ru";;Ассоциация победителей олимпиад проводит среди учеников 7-11 классов выездные школы по подготовке к олимпиадам по предметам: астрономия, биология, география, журналистика, иностранные языки (английский, испанский, итальянский, китайский, немецкий, французский), история искусств, литература, история, математика, ОБЖ, обществознание, право, русский язык, физика, химия, экология и экономика. .. На сменах преподаватели АПО весь день с учениками ведут пары, готовят групповые проекты, проводят вечерние консультации и участвуют в отрядных мероприятиях. Школы проходят на площадках по организации детского и молодежного отдыха Департамента образования и науки города Москвы: образовательный центр «Команда» и Московский городской Дом учителя «Поведники».;;Каталог /activities;https://olimpiada.ru/activity/5823
5775;Многопрофильная олимпиада КГУ «Твой выбор»;"Английский язык; Биология; География; ИЗО; Информатика; Искусство; История; Литература; Математика; Немецкий язык; Обществознание; Русский язык; Физика; Французский язык";7–11 классы;7.0;11.0;Очно-заочная;Личная;8.1;Расписание не опубликовано;Расписание олимпиады в этом году пока не известно;Не опубликовано;Не опубликован;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5775;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;Курский государственный университет;"multiolymp.kursksu.ru; olimpiadakgu@gmail.com";"Положение; →";Олимпиада проходит по 15 дисциплинам: физико-математический профиль, информатика и ИКТ, русский язык, литература, основы православной культуры, история, обществознание, английский язык, немецкий язык, французский язык, биология, география, музыкальное искусство, изобразительное искусство, рисунок и живопись. .. Задания рассчитаны на учеников 7-11 классов. Состязание включает два этапа: отборочный и заключительный. Участники, успешно прошедшие отбор, приглашаются в финал.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5775
5651;Межрегиональная олимпиада школьников «Путь в науку»;"Английский язык; Биология; География; ИЗО; Информатика; История; Литература; Немецкий язык; Обществознание; Русский язык; Физика; Французский язык; Химия";11 класс;11.0;11.0;Очно-заочная;Личная;8.0;Итоги опубликованы;"Опубликованы итоги; следующее соревнование ожидается в феврале 2027 года";"Следующее соревнование: Опубликованы итоги; следующее соревнование ожидается в феврале 2027 года";Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5651;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Орловский государственный университет имени И.С. Тургенева; →";oreluniver.ru/...;"Положение; →; Регламент";Многопрофильная олимпиада для учеников 11 класса из всех регионов страны. Соревнование включает в себя дистанционный отборочный и заключительный очный этапы. .. Финал олимпиады проводится на базе Орловского государственного университета имени И.С. Тургенева.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5651
5895;Олимпиада РУДН для школьников;"Английский язык; Биология; География; Информатика; Испанский язык; История; Математика; Немецкий язык; Обществознание; Право; Психология; Физика; Французский язык; Химия; Экология; Экономика";7–11 классы;7.0;11.0;Очно-заочная;Личная;8.1;Регистрация открыта;Регистрация открыта до 25 января;"Отборочный этап: 1 окт—25 янв
Регистрация: До 25 янв
Заключительный этап: 13—18 фев";Опубликован;"Отборочный этап
1 окт—25 янв
Регистрация
До 25 янв
Заключительный этап
13—18 фев";Обновлено 15 сентября;https://olimpiada.ru/activity/5895;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Российский университет дружбы народов; →";"olympiada.rudn.ru; olympiada@rudn.ru";"Положение; →; Регламент";Олимпиада проходит для всех желающих учеников 7-11 классов. Школьники могут попробовать свои силы в одном или нескольких профилях, которые входят в четыре категории: гуманитарные науки, технические науки, естественные науки и социально-экономические науки. .. Соревнование включает в себя два этапа. Отборочный проходит онлайн, для участия нужно пройти регистрацию на сайте олимпиады. Победители и призеры приглашаются в финал, который проводится в смешанном формате: очно в РУДН и дистанционно. Для подготовки к олимпиаде организаторы советуют участникам ознакомиться с демоверсиями заданий, а также методическими рекомендациями. Материалы доступны на сайте соревнования в разделе «Профили».;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5895
5276;Евсевьевская открытая олимпиада школьников;"Английский язык; Биология; География; Информатика; История; Литература; Математика; Немецкий язык; ОБЗР; Обществознание; Право; Русский язык; Технология; Физика; Физическая культура; Химия";7–11 классы;7.0;11.0;Очная;Личная;8.6;Следующий цикл ожидается;Следующее соревнование начнется в феврале 2027 года;Следующее соревнование: Следующее соревнование начнется в феврале 2027 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5276;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Мордовский государственный педагогический университет имени М. Е. Евсевьева; →";"mordgpi.ru/...; academia@mordgpi.ru";"Положение; →; Регламент";Соревнование для 7-11 классов по 17 предметам, включая экзотические языки мокша и эрзя;Личная | Участник самостоятельно выполняет задания | Очная | Для участия нужно прийти в заранее известное место проведения;Каталог /activities;https://olimpiada.ru/activity/5276
5853;Олимпиада школьников «Байкальская перспектива»;"Английский язык; Биология; География; Информатика; История; Математика; Физика; Химия";7–11 классы;7.0;11.0;Очно-заочная;Личная;7.3;Итоги опубликованы;Определены победители и призеры финала;Не опубликовано;Не опубликован;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5853;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Бурятский государственный университет имени Доржи Банзарова; →";"bsu.ru/...; olympic@bsu.ru";"Положение; →";Олимпиада «Байкальская перспектива» проводится Бурятским государственным университетом имени Доржи Банзарова с 2012 года для школьников из России, Монголии, Узбекистана. .. Соревнование проходит для учеников 7-11 классов по 8 профилям: математика, физика, информатика, химия, биология, география, история, английский язык. Чтобы попасть в финал, нужно выполнить задания дистанционного отборочного этапа.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5853
